Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x7.7",69.700000,-100.950000,180.000000,top
"C3","100nF","C_1206_3216Metric",73.400000,-53.500000,0.000000,top
"C5","220uf","CP_Elec_6.3x7.7",62.200000,-80.750000,270.000000,top
"C6","100nF","C_1206_3216Metric",88.400000,-61.900000,0.000000,top
"C7","100nF","C_1206_3216Metric",96.900000,-84.700000,270.000000,top
"C8","10uf","CP_Elec_4x5.3",82.550000,-88.250000,90.000000,top
"C9","100nF","C_1206_3216Metric",87.700000,-95.000000,0.000000,top
"C10","100nF","C_1206_3216Metric",96.300000,-94.500000,270.000000,top
"C11","100nF","C_1206_3216Metric",85.100000,-83.200000,90.000000,top
"D1","SS34","SS34",77.250000,-91.300000,90.000000,top
"D2","RED","D_0201_0603Metric",106.235000,-86.950000,180.000000,top
"D3","RED","D_0201_0603Metric",53.065000,-82.200000,0.000000,top
"D4","RED","D_0201_0603Metric",87.800000,-77.500000,180.000000,top
"L1","33uH","YPRH1207-330M",72.550000,-78.900000,90.000000,top
"Q1","AO3401A","SOT-23",62.900000,-99.250000,180.000000,top
"Q2","2N7002","SOT-23",79.000000,-50.250000,0.000000,top
"Q3","2N7002","SOT-23",69.100000,-50.300000,0.000000,top
"R3","10k","R_0201_0603Metric",77.900000,-54.650000,0.000000,top
"R4","330","R_0201_0603Metric",104.100000,-86.950000,0.000000,top
"R5","330","R_0201_0603Metric",55.800000,-82.200000,180.000000,top
"R6","330","R_0201_0603Metric",89.300000,-78.700000,180.000000,top
"R7","10k","R_0201_0603Metric",82.000000,-49.800000,270.000000,top
"R8","10k","R_0201_0603Metric",72.000000,-49.700000,270.000000,top
"R9","10k","R_0201_0603Metric",76.500000,-50.800000,270.000000,top
"R10","10k","R_0201_0603Metric",66.700000,-50.900000,270.000000,top
"SW1","Reset","TS-1187A-B-A-B_PushButton",111.200000,-89.000000,180.000000,top
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",79.550000,-62.450000,0.000000,top
"U2","LM2596S-5","TO-263-5_TabPin3",65.400000,-91.500000,180.000000,top
"U3","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",91.000000,-87.200000,90.000000,top
"Y1","16Mhz","CSTCE16M0V53-R0",71.400000,-64.650000,270.000000,top
