Designator,Comment,Footprint,JLCPCB Part #
C1,100uF,Capacitor_SMD:CP_Elec_6.3x7.7,C127971
C3,100nF,Capacitor_SMD:C_0402_1005Metric,C307331
C5,220uf,Capacitor_SMD:CP_Elec_6.3x7.7,C371974
C6,100nF,Capacitor_SMD:C_0402_1005Metric,C307331
C7,100nF,Capacitor_SMD:C_1206_3216Metric,C307331
C8,10uf,Capacitor_SMD:CP_Elec_4x5.3,C134721
C9,100nF,Capacitor_SMD:C_1206_3216Metric,C307331
C10,100nF,Capacitor_SMD:C_1206_3216Metric,C307331
C11,100nF,Capacitor_SMD:C_1206_3216Metric,C307331
D1,SS34,RobotHat:SS34,C8678
D2,GREEN,Diode_SMD:D_0402_1005Metric,C130719
D3,RED,Diode_SMD:D_0402_1005Metric,C130719
D4,GREEN,Diode_SMD:D_0402_1005Metric,C130719
L1,33uH,RobotHat:YPRH1207-330M,C339951
Q1,AO3401A,Package_TO_SOT_SMD:SOT-23,C15127
Q2,2N7002,Package_TO_SOT_SMD:SOT-23,C8545
Q3,2N7002,Package_TO_SOT_SMD:SOT-23,C8545
R3,10k,Resistor_SMD:R_0805_2012Metric,C17724
R4,330,Resistor_SMD:R_0402_1005Metric,C25741
R5,330,Resistor_SMD:R_0402_1005Metric,C25741
R6,330,Resistor_SMD:R_0402_1005Metric,C25741
R7,10k,Resistor_SMD:R_0805_2012Metric,C17724
R8,10k,Resistor_SMD:R_0805_2012Metric,C17724
R9,10k,Resistor_SMD:R_0805_2012Metric,C17724
R10,10k,Resistor_SMD:R_0805_2012Metric,C17724
U1,ATmega328P-AU,Package_QFP:TQFP-32_7x7mm_P0.8mm,C14877
U2,LM2596S-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,C194349
U3,TB6612FNG,Package_SO:SSOP-24_5.3x8.2mm_P0.65mm,C141517
Y1,16Mhz,RobotHat:CSTCE16M0V53-R0,C32180
